Sp,Estado,Diametro,
Cyonoscion analis,CA,15.75502416,
Cyonoscion analis,Vtg1,63.38844196,
Cyonoscion analis,Vtg1,51.23727496,
Cyonoscion analis,Vtg1,113.5478947,
Cyonoscion analis,Vtg1,95.67061914,
Cyonoscion analis,Vtg1,123.5486235,
Cyonoscion analis,Vtg1,109.9088159,
Cyonoscion analis,Vtg1,69.74325059,
Cyonoscion analis,Vtg1,81.192211,
Cyonoscion analis,Vtg1,85.65307549,
Cyonoscion analis,Vtg1,-1.108393268,
Cyonoscion analis,Vtg1,61.35937363,
Cyonoscion analis,Vtg1,73.97689753,
Cyonoscion analis,Vtg1,133.5870429,
Cyonoscion analis,Vtg1,141.7475119,
Cyonoscion analis,Vtg1,96.50102542,
Cyonoscion analis,Vtg1,52.62198465,
Cyonoscion analis,Vtg1,86.87204565,
Cyonoscion analis,Vtg1,84.57909991,
Cyonoscion analis,Vtg1,34.85628634,
Cyonoscion analis,Vtg1,47.33814073,
Cyonoscion analis,Vtg1,193.2829666,
Cyonoscion analis,Vtg1,38.14379335,
Cyonoscion analis,Vtg1,48.17315239,
Cyonoscion analis,Vtg1,119.5091536,
Cyonoscion analis,Vtg1,115.1629165,
Cyonoscion analis,Vtg1,93.65583894,
Cyonoscion analis,Vtg1,137.7115364,
Cyonoscion analis,Vtg1,51.62542657,
Cyonoscion analis,Vtg1,117.6302209,
Cyonoscion analis,Vtg1,83.95636759,
Cyonoscion analis,Vtg1,61.97164496,
Cyonoscion analis,Vtg1,114.6088215,
Cyonoscion analis,Vtg1,57.93872556,
Cyonoscion analis,Vtg1,159.1019957,
Cyonoscion analis,Vtg1,60.5643592,
Cyonoscion analis,Vtg1,80.37946935,
Cyonoscion analis,Vtg1,94.74672317,
Cyonoscion analis,Vtg1,-0.221231077,
Cyonoscion analis,Vtg1,155.8327854,
Cyonoscion analis,Vtg1,70.20391521,
Cyonoscion analis,Vtg1,75.63884383,
Cyonoscion analis,Vtg1,57.95356134,
Cyonoscion analis,Vtg1,83.56297541,
Cyonoscion analis,Vtg1,158.5118144,
Cyonoscion analis,Vtg1,121.3635609,
Cyonoscion analis,Vtg1,143.2519152,
Cyonoscion analis,Vtg1,94.00681432,
Cyonoscion analis,Vtg1,58.81650592,
Cyonoscion analis,Vtg1,77.12520744,
Cyonoscion analis,Vtg1,100.0034248,
Cyonoscion analis,Vtg2,260.4045678,
Cyonoscion analis,Vtg2,225.7506865,
Cyonoscion analis,Vtg2,304.0973192,
Cyonoscion analis,Vtg2,168.2364815,
Cyonoscion analis,Vtg2,283.198267,
Cyonoscion analis,Vtg2,270.5853668,
Cyonoscion analis,Vtg2,224.9757299,
Cyonoscion analis,Vtg2,281.5810851,
Cyonoscion analis,Vtg2,115.9373382,
Cyonoscion analis,Vtg2,128.7992599,
