Sp,LT,LS,Peso,Peso_ev,P_gonad,FC,IGS,Fec,Fec2,Fec_parcial,A,B,ale,Npulso,
Stellifer minor,15,13,65,63,1.76,1.925925926,2.793650794,3858.464,3940.464,2192.309091,2356.4,-288.8,82,1.64007319,
Stellifer minor,15,13,62,57,1.95,1.837037037,3.421052632,4306.18,4276.18,2208.297436,2356.4,-288.8,-30,1.644278492,
Stellifer minor,15,12.6,55,52,3.15,1.62962963,6.057692308,7133.86,7140.86,2264.71746,2356.4,-288.8,7,1.701647374,
Stellifer minor,15,12.8,70,50,3.15,2.074074074,6.3,7133.86,7445.86,2264.71746,2356.4,-288.8,312,1.709667954,
Stellifer minor,15,12.9,60,55,2.41,1.777777778,4.381818182,5390.124,5263.124,2236.565975,2356.4,-288.8,-127,1.66382018,
Stellifer minor,15,12.8,65,45,3.73,1.925925926,8.288888889,8500.572,8773.572,2278.973727,2356.4,-288.8,273,1.730242169,
Stellifer minor,15,13,55,45,2.78,1.62962963,6.177777778,6261.992,6411.992,2252.515108,2356.4,-288.8,150,1.690107631,
Stellifer minor,15,13,60,50,1.58,1.777777778,3.16,3434.312,3662.312,2173.61519,2356.4,-288.8,228,1.639552096,
Stellifer minor,15,13,60,50,3.49,1.777777778,6.98,7935.036,7842.036,2273.649284,2356.4,-288.8,-93,1.712853807,
Stellifer minor,15,13,60,50,4.5,1.777777778,9,10315,10254,2292.222222,2356.4,-288.8,-61,1.749783801,
Stellifer minor,15,13,55,50,2.78,1.62962963,5.56,6261.992,6485.992,2252.515108,2356.4,-288.8,224,1.692320018,
Stellifer minor,15,13,60,55,2.87,1.777777778,5.218181818,6474.068,6601.068,2255.772822,2356.4,-288.8,127,1.693261914,
Stellifer minor,15,13.3,65,55,6.99,1.925925926,12.70909091,16182.436,16526.436,2315.083834,2356.4,-288.8,344,1.822041666,
Stellifer minor,15,12.8,57,51,2.06,1.688888889,4.039215686,4565.384,4759.384,2216.205825,2356.4,-288.8,194,1.659390434,
Stellifer minor,15,13,60,50,5.82,1.777777778,11.64,13425.448,13714.448,2306.778007,2356.4,-288.8,289,1.793487852,
Stellifer minor,15,12.7,63,56,2.33,1.866666667,4.160714286,5201.612,5112.612,2232.451502,2356.4,-288.8,-89,1.661242285,
Stellifer minor,15,12.8,72,55,2.49,2.133333333,4.527272727,5578.636,5460.636,2240.416064,2356.4,-288.8,-118,1.668102317,
Stellifer minor,15.1,12.6,60,55,1.65,1.742691081,3,3599.26,3882.26,2181.369697,2356.4,-288.8,283,1.645335324,
Stellifer minor,15.1,13.2,65,56,3.04,1.887915338,5.428571429,6874.656,7355.656,2261.4,2356.4,-288.8,481,1.709835239,
Stellifer minor,15.1,13.2,55,51,3.04,1.597466824,5.960784314,6874.656,7042.656,2261.4,2356.4,-288.8,168,1.701484247,
Paralonchurus peruanus,15.1,12.1,35,30,0.14,1.016569797,0.466666667,454.382,867.382,3245.585714,1351.3,265.2,413,0.905294349,
Stellifer minor,15.1,13.2,65,55,2.65,1.887915338,4.818181818,5955.66,5960.66,2247.418868,2356.4,-288.8,5,1.679835657,
Stellifer minor,15.1,13.1,65,55,4.54,1.887915338,8.254545455,10409.256,10619.256,2292.787665,2356.4,-288.8,210,1.755982096,
Stellifer minor,15.1,13.2,85,58,2.73,2.468812365,4.706896552,6144.172,6280.172,2250.612454,2356.4,-288.8,136,1.687528002,
Stellifer minor,15.2,12.5,60,50,3.24,1.70852165,6.48,7345.936,7149.936,2267.264198,2356.4,-288.8,-196,1.699979278,
Stellifer minor,15.2,13.1,60,55,1.79,1.70852165,3.254545455,3929.156,4422.156,2195.059218,2356.4,-288.8,493,1.660836313,
Stellifer minor,15.2,13,70,65,1.67,1.993275259,2.569230769,3646.388,4041.388,2183.465868,2356.4,-288.8,395,1.651745786,
Stellifer minor,15.2,12.9,65,55,3.28,1.850898455,5.963636364,7440.192,7907.192,2268.35122,2356.4,-288.8,467,1.718438596,
Stellifer minor,15.2,13.2,70,60,6.7,1.993275259,11.16666667,15499.08,15607.08,2313.295522,2356.4,-288.8,108,1.812704696,
Stellifer minor,15.2,13.2,61,55,3.03,1.736997011,5.509090909,6851.092,6665.092,2261.086469,2356.4,-288.8,-186,1.691136629,
Stellifer minor,15.2,12.9,59,45,3.07,1.68004629,6.822222222,6945.348,7203.348,2262.328339,2356.4,-288.8,258,1.70511695,
Stellifer minor,15.2,13.1,64,57,3.78,1.822423094,6.631578947,8618.392,9070.392,2279.997884,2356.4,-288.8,452,1.735802513,
Stellifer minor,15.2,13.1,63,54,3.68,1.793947733,6.814814815,8382.752,8812.752,2277.921739,2356.4,-288.8,430,1.731890732,
Stellifer minor,15.2,13.2,66,62,5.76,1.879373815,9.290322581,13284.064,13487.064,2306.261111,2356.4,-288.8,203,1.790741473,
Stellifer minor,15.2,13,52,55,3.07,1.480718764,5.581818182,6945.348,7345.348,2262.328339,2356.4,-288.8,400,1.708864407,
Stellifer minor,15.3,13.4,65,55,3.55,1.814843015,6.454545455,8076.42,8065.42,2275.047887,2356.4,-288.8,-11,1.717162531,
Stellifer minor,15.3,13.3,70,65,3.04,1.954446324,4.676923077,6874.656,6974.656,2261.4,2356.4,-288.8,100,1.699620939,
Stellifer minor,15.3,13.3,60,55,2.65,1.675239706,4.818181818,5955.66,6124.66,2247.418868,2356.4,-288.8,169,1.685080622,
Stellifer minor,15.3,13.4,65,55,8.37,1.814843015,15.21818182,19434.268,19790.268,2321.895818,2356.4,-288.8,356,1.850406742,
Stellifer minor,15.3,13.4,65,60,4.05,1.814843015,6.75,9254.62,9544.62,2285.091358,2356.4,-288.8,290,1.741619051,
Stellifer minor,15.3,13.2,61,54,3.46,1.703160368,6.407407407,7864.344,8175.344,2272.931792,2356.4,-288.8,311,1.721347754,
Stellifer minor,15.3,13.2,61,52,6.05,1.703160368,11.63461538,13967.42,14277.42,2308.664463,2356.4,-288.8,310,1.79959011,
