Sp,LT,LS,Peso,Peso_ev,P_gonad,FC,IGS,Fec,Fec2,Fec_parcial,A,B,ale,Npulso,
Menticirrhus ophicephalus,25.3,21.1,180,161,8.02,1.111503774,4.98136646,24806.86,25286.86,3093.124688,3443,-2806,480,1.423445657,
Menticirrhus ophicephalus,25.5,20.5,170,155,6.63,1.0252467,4.277419355,20021.09,19982.09,3019.772247,3443,-2806,-39,1.424160684,
Cynoscion analis,25.5,22.3,160,150,3.36,0.964938071,2.24,6573.9,6954.9,1956.517857,1880,257.1,381,1.963841462,
Menticirrhus ophicephalus,25.5,21,200,172,7.88,1.206172588,4.581395349,24324.84,24365.84,3086.908629,3443,-2806,41,1.421092075,
Cynoscion analis,25.6,23,190,170,7.51,1.132488251,4.417647059,14375.9,14241.9,1914.234354,1880,257.1,-134,2.169832509,
Menticirrhus ophicephalus,25.6,21.1,180,165,6.57,1.072883606,3.981818182,19814.51,19667.51,3015.907154,3443,-2806,-147,1.423700784,
Cynoscion analis,25.6,22.2,170,150,7.15,1.013278961,4.766666667,13699.1,13818.1,1915.958042,1880,257.1,119,2.161032883,
Menticirrhus ophicephalus,25.7,21.3,200,185,11.46,1.17823149,6.194594595,36650.78,36641.78,3198.148342,3443,-2806,-9,1.427068439,
Cynoscion analis,25.7,22.5,170,160,8.19,1.001496766,5.11875,15654.3,15468.3,1911.391941,1880,257.1,-186,2.19182811,
Cynoscion analis,25.8,22,200,180,8.43,1.164584157,4.683333333,16105.5,16477.5,1910.498221,1880,257.1,372,2.207220753,
Cynoscion analis,25.8,22.7,185,170,10.47,1.077240345,6.158823529,19940.7,20052.7,1904.555874,1880,257.1,112,2.258885085,
Menticirrhus ophicephalus,25.9,23.3,200,180,13.92,1.151146781,7.733333333,45120.56,44921.56,3241.41954,3443,-2806,-199,1.435313995,
Menticirrhus ophicephalus,25.9,21.4,205,185,12.05,1.179925451,6.513513514,38682.15,38758.15,3210.136929,3443,-2806,76,1.429335614,
Menticirrhus ophicephalus,26,22.6,220,195,11.78,1.251706873,6.041025641,37752.54,38241.54,3204.79966,3443,-2806,489,1.429897609,
Sciaena deliciosa,26,22.5,270,235,9.38,1.536185708,3.991489362,9438.722,9635.722,1006.260341,896.9,1025.8,197,3.959098952,
Menticirrhus ophicephalus,26,21.9,205,180,5.34,1.166363223,2.966666667,15579.62,15407.62,2917.531835,3443,-2806,-172,1.435369276,
Menticirrhus ophicephalus,26,21.8,200,170,5.39,1.137915339,3.170588235,15751.77,15961.77,2922.406308,3443,-2806,210,1.438226107,
Menticirrhus ophicephalus,26,21.9,225,205,2.33,1.280154756,1.136585366,5216.19,5487.19,2238.708155,3443,-2806,271,1.670315977,
Menticirrhus ophicephalus,26,22.3,220,180,9.73,1.251706873,5.405555556,30694.39,30888.39,3154.613566,3443,-2806,194,1.42324731,
Sciaena deliciosa,26,21.8,185,170,6.46,1.052571689,3.8,6819.774,7218.774,1055.69257,896.9,1025.8,399,3.654912004,
Menticirrhus ophicephalus,26,21.5,180,175,6.68,1.024123805,3.817142857,20193.24,20615.24,3022.94012,3443,-2806,422,1.427149803,
Menticirrhus ophicephalus,26.2,22,180,175,5.39,1.000849165,3.08,15751.77,15670.77,2922.406308,3443,-2806,-81,1.435491815,
Cynoscion analis,26.3,22.6,180,155,11.06,0.989475988,7.135483871,21049.9,20957.9,1903.245931,1880,257.1,-92,2.270514647,
Menticirrhus ophicephalus,26.4,22,185,170,5.75,1.005448771,3.382352941,16991.25,17129.25,2955,3443,-2806,138,1.432737174,
Cynoscion analis,26.4,23.3,195,185,5.99,1.059797354,3.237837838,11518.3,11725.3,1922.921536,1880,257.1,207,2.116115446,
Cynoscion analis,26.4,22,285,160,8.64,1.548934594,5.4,16500.3,16971.3,1909.756944,1880,257.1,471,2.214792371,
Menticirrhus ophicephalus,26.5,22.6,210,190,5.39,1.128448316,2.836842105,15751.77,16073.77,2922.406308,3443,-2806,322,1.439265217,
Menticirrhus ophicephalus,26.5,22.3,220,195,8.36,1.182183951,4.287179487,25977.48,25863.48,3107.354067,3443,-2806,-114,1.420078583,
Menticirrhus ophicephalus,26.5,22.3,195,180,7.58,1.047844865,4.211111111,23291.94,23308.94,3072.815303,3443,-2806,17,1.42134235,
Menticirrhus ophicephalus,26.6,22.5,200,185,10.3,1.062637372,5.567567568,32656.9,33043.9,3170.572816,3443,-2806,387,1.425323297,
Menticirrhus ophicephalus,26.7,22.1,200,175,6.56,1.050742289,3.748571429,19780.08,19779.08,3015.256098,3443,-2806,-1,1.42482295,
Menticirrhus ophicephalus,27,22.5,180,160,7.7,0.914494742,4.8125,23705.1,24108.1,3078.584416,3443,-2806,403,1.423434408,
Cynoscion analis,27,22.5,210,190,9.79,1.066910532,5.152631579,18662.3,18636.3,1906.261491,1880,257.1,-26,2.240175187,
Menticirrhus ophicephalus,27.1,23.2,205,180,4.61,1.030020785,2.561111111,13066.23,13235.23,2834.32321,3443,-2806,169,1.454220703,
Cynoscion analis,27.2,24,200,135,9.36,0.993855587,6.933333333,17853.9,18168.9,1907.467949,1880,257.1,315,2.232975205,
Menticirrhus ophicephalus,27.4,22,225,200,15.39,1.093782145,7.695,50181.77,50191.77,3260.673814,3443,-2806,10,1.441613844,
Cynoscion analis,27.5,23.2,215,190,10.7,1.033809166,5.631578947,20373.1,20647.1,1904.028037,1880,257.1,274,2.26617412,
Cynoscion analis,27.7,24.6,225,205,8.39,1.058627596,4.092682927,16030.3,15953.3,1910.643623,1880,257.1,-77,2.199704058,
Cynoscion analis,27.7,23,230,200,15.83,1.082152654,7.915,30017.5,30152.5,1896.241314,1880,257.1,135,2.362211652,
Cynoscion analis,27.9,24.6,230,200,18.48,1.05904698,9.24,34999.5,35051.5,1893.912338,1880,257.1,52,2.39963937,
Cynoscion analis,27.9,23.3,240,205,14.8,1.105092501,7.219512195,28081.1,27907.1,1897.371622,1880,257.1,-174,2.343091178,
Menticirrhus ophicephalus,27.9,23.1,220,210,9.87,1.013001459,4.7,31176.41,31178.41,3158.704154,3443,-2806,2,1.422689098,
Cynoscion analis,28,23.6,250,210,14.98,1.138848397,7.133333333,28419.5,28713.5,1897.162884,1880,257.1,294,2.349869994,
Menticirrhus ophicephalus,28,18.3,110,95,2.35,0.501093294,2.473684211,5285.05,5666.05,2248.957447,3443,-2806,381,1.668897919,
Cynoscion analis,28.1,23.9,220,200,6.67,0.991525119,3.335,12796.7,13043.7,1918.545727,1880,257.1,247,2.14506266,
Cynoscion analis,28.2,25.5,270,230,18.31,1.203972145,7.960869565,34679.9,34874.9,1894.041507,1880,257.1,195,2.398317541,
Cynoscion analis,28.3,23.5,250,210,19.11,1.103013181,9.1,36183.9,36108.9,1893.453689,1880,257.1,-75,2.407037618,
Cynoscion analis,28.3,23.5,235,200,17.5,1.03683239,8.75,33157.1,33292.1,1894.691429,1880,257.1,135,2.386848392,
Cynoscion analis,28.5,23.5,220,200,8.87,0.950359895,4.435,16932.7,17331.7,1908.985344,1880,257.1,399,2.220468154,
Cynoscion analis,28.6,24.2,235,205,17.21,1.004545848,8.395121951,32611.9,32703.9,1894.938989,1880,257.1,92,2.382451136,
Cynoscion analis,28.7,25.1,235,205,9.09,0.994081913,4.434146341,17346.3,17324.3,1908.283828,1880,257.1,-22,2.221187243,
